;
2. Population totale par ?ge et sexe,  Population totale : 20-39 ans, ELP : Estimation localis?e de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par ?ge et sexe,  Population totale : 60-74 ans, ELP : Estimation localis?e de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par ?ge et sexe,  Population totale : moins de 20 ans, ELP : Estimation localis?e de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par ?ge et sexe,  Population totale : 40-59 ans, ELP : Estimation localis?e de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par ?ge et sexe,  Population totale : 75 ans et plus, ELP : Estimation localis?e de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
;
;
;2014;2014;2014;2014;2014;;
;Pop. totale : 20-39 ans;Pop. totale : 60-74 ans;Pop. totale : 0-19 ans;Pop. totale : 40-59 ans;Pop. totale : 75 ans et +;;
;ELP : Estimation localis?e de population;ELP : Estimation localis?e de population;ELP : Estimation localis?e de population;ELP : Estimation localis?e de population;ELP : Estimation localis?e de population;;
D77 Seine-et-Marne;358425;169927;385661;381782;82291;;
D78 Yvelines;355018;189662;385004;391469;100414;;
D79 Deux-S?vres;77295;61771;87059;103505;42451;;
D80 Somme;139539;87108;141991;152507;50530;;
D81 Tarn;76590;67309;86423;105325;48296;;
D82 Tarn-et-Garonne;53980;41411;61305;69000;27278;;
D83 Var;217398;196276;222894;276915;121522;;
D84 Vaucluse;121769;92890;133800;150479;53357;;
D85 Vend?e;140260;116676;158237;175562;71046;;
D86 Vienne;103097;68506;101556;113394;45800;;
D87 Haute-Vienne;83476;65646;81387;100375;44638;;
D88 Vosges;78185;64748;85783;104815;40040;;
D89 Yonne;69633;60459;79945;92950;38297;;
D90 Territoire de Belfort;36590;21095;36247;38252;12515;;
D91 Essonne;333537;159114;348511;341362;84126;;
D92 Hauts-de-Seine;466059;189063;405233;421262;115596;;
D93 Seine-Saint-Denis;458743;166234;452866;401366;83468;;
D94 Val-de-Marne;387960;164630;352291;362555;95093;;
D95 Val-d'Oise;327528;140907;343468;320725;69706;;
D9A Guadeloupe;82212;59019;109961;121475;28670;;
D9B Martinique;76156;59213;94328;119612;32690;;
D9C Guyane;71518;14639;106192;52690;4243;;
D9D R?union;218186;87091;266110;234073;33874;;
D9F Mayotte;59697;7120;119981;31430;2072;;
R11 Ile-de-France;3441615;1474380;3114473;3178679;795930;;
R21 Champagne-Ardenne;313956;212710;323143;361387;126926;;
R22 Picardie;463397;282339;497272;526760;157619;;
R23 Haute-Normandie;442732;279669;469846;499503;160159;;
R24 Centre;568727;424624;618186;695307;270630;;
R25 Basse-Normandie;320188;248326;350033;398900;160764;;
R26 Bourgogne;351588;288203;368865;444642;185194;;
R31 Nord-Pas-de-Calais;1035906;558588;1083400;1063839;316599;;
R41 Lorraine;567363;361836;547498;653102;216493;;
R42 Alsace;464853;272830;446050;529759;155281;;
R43 Franche-Comt?;276524;185501;288192;317455;111265;;
R52 Pays de la Loire;858642;561089;941857;975756;352121;;
R53 Bretagne;733764;531089;789401;880364;338725;;
R54 Poitou-Charentes;378872;319957;401204;488472;207929;;
R72 Aquitaine;753745;560537;748335;915671;356846;;
R73 Midi-Pyr?n?es;695826;475033;677271;803478;315545;;
R74 Limousin;150365;135893;153044;200457;96121;;
R82 Rh?ne-Alpes;1612330;936886;1634959;1714163;550583;;
R83 Auvergne;293043;239861;296303;374768;155427;;
R91 Languedoc-Roussillon;618885;477269;637302;735277;288825;;
R93 Provence-Alpes-C?te d'Azur;1132316;837700;1139396;1332696;522751;;
R94 Corse;76377;56345;66373;90418;33579;;
ROM D?partements d'Outre-Mer;507769;227082;696572;559280;101549;;
;
Eco-Sant? France, R?gions & D?partements - Mise ? jour : Avril 2016;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA;
